ref	category	title	tags	description	quantity	price
B8301422	earrings	Love single earring	pink gold	"Love single earring, 18K pink gold. Diameter 12mm. Sold individually."	4	810
B8301254	earrings	Love earrings	pink gold	"Love earrings, 18K rose gold. Inner diameter 7.2mm."	2	1370
B8301255	earrings	Love earrings	yellow gold	"Love earrings, 18K yellow gold. Inner diameter 7.2mm."	2	1370
B8301256	earrings	Love earrings	white gold	"Love earrings, 18K white gold. Inner diameter 7.2mm."	2	1470
B8301424	earrings	Love single earring	"white gold, diamond"	"Love earring, 18K white gold, set with 12 brilliant-cut diamonds totaling 0.05 carat. Diameter: 12 mm. Sold individually."	3	1750
B8028800	earrings	Love earrings	yellow gold	"Love earrings, 18K yellow gold. Width: 2.65mm. Inner diameter 10mm."	2	1770
B8029000	earrings	Love earrings	pink gold	"Love earrings, 18K rose gold. Width: 2.65mm. Inner diameter 10mm."	2	1770
B8028900	earrings	Love earrings	white gold	"Love earrings, 18K white gold. Width: 2.65mm. Inner diameter 10mm."	2	1890
B8022500	earrings	Love earrings	yellow gold	"Love earrings, 18K yellow gold. Width: 5.7mm."	1	3150
B8028200	earrings	Love earrings	yellow gold	"Love earrings, 18K yellow gold. Width: 3.6mm. Inner diameter 32.6mm."	4	3750
